Blue    Brown    Green   Orange     Red    Yellow
  7      15        10       8        6       12
  7      16         6       9        5       14
  8       9        10       5        6       18
  5      12         8       7        8       16
 12      20         3       6        4       15
  5      16         7      16        3       12
 10      10         6       7       10       13
  9       9         5       7       13       15
  5      12         8       8        7       11 
  9       9         6      12       10       11
  9      13         8       7       13        9
  8      14         4       8       12       10
 10       9         4       8       15       12
 13      11         6       7       10       10
  7      12         5       9       15       11
  3      19         9       5       12        7
 10      12         3       8       10       12
 13      14         4       9        5       11
 13      16         2      14        3       11
 
